"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"652","10739",23,29,48,61.2,0,4.5,23,237.1,9.2,"WGS84",46.015001,1.999332,"E10","8","U111","8","mineral","FRANCE"
"653","10740",29,39,32,11.7,0,1.3,23.8,218.5,18.4,"WGS84",43.506031,1.431565,"B31","8","U111","8","mineral","FRANCE"
"654","10741",52,44,4,16.5,5,2.2,19.1,114.5,24.1,"WGS84",43.255906,0.849358,"B16","8","U111","8","mineral","FRANCE"
"655","10742",31,43,25,7.8,4,1,14,131.3,18.8,"WGS84",43.462568,1.78553,"B31","8","U111","8","mineral","FRANCE"
"656","10743",39,44,17,15,38,1.9,0,190.7,25.4,"WGS84",43.436607,1.04451,"E20","8","U111","8","mineral","FRANCE"
"657","10744",28,40,33,7.8,125,0.9,18,113.4,18,"WGS84",43.458749,1.736616,"B12","8","U111","8","mineral","FRANCE"
"658","10745",38,37,25,8.5,19,1.2,15.5,192.1,27.6,"WGS84",43.364779,1.477145,"B16","8","U111","8","mineral","FRANCE"
"659","10746",23,38,39,5.6,95,0.9,0,114.9,21.4,"WGS84",43.347098,1.702713,"B31","8","U111","8","mineral","FRANCE"
"660","10748",12,44,44,13.1,0,1.3,52.5,260,5.8,"WGS84",47.455738,-1.838893,"E20","8","U111","8","mineral","FRANCE"
"661","10749",18,42,39,27.8,1,2.8,22.6,150.7,8.1,"WGS84",47.381918,-1.848733,"E20","8","U111","8","mineral","FRANCE"
"662","10750",22,32,46,15.6,2,1.4,14,388.2,12,"WGS84",47.299504,-2.420123,"E20","8","U210","8","mineral","FRANCE"
"663","10751",21,54,25,20.6,1,1.9,31.7,164.2,9.9,"WGS84",47.340931,-2.376413,"B16","8","U111","8","mineral","FRANCE"
"664","10752",15,35,50,17.5,0,1.7,13,85.5,6.2,"WGS84",47.255269,-2.007181,"E20","8","U111","8","mineral","FRANCE"
"665","10769",16,34,50,12,0,1.2,49.6,343.7,4.6,"WGS84",46.899221,-1.605668,"B16","8","U111","8","mineral","FRANCE"
"666","10770",12,30,58,13.7,0,1.3,30.5,127.4,3.6,"WGS84",46.961754,-1.699514,"B16","8","U111","8","mineral","FRANCE"
"667","10771",8,26,66,13.6,0,1.2,33.6,64.7,5.5,"WGS84",46.976673,-1.729513,"B11","8","U111","8","mineral","FRANCE"
"668","10772",9,27,64,10.3,0,1.1,23.7,80.4,0,"WGS84",46.956086,-1.751503,"E20","8","U111","8","mineral","FRANCE"
"669","10773",12,18,70,5.8,0,0.8,16.6,71.2,0,"WGS84",47.234471,-1.359804,"E20","8","U400","8","mineral","FRANCE"
"670","10774",18,50,32,13.7,0,1.5,17.2,198.7,7.6,"WGS84",47.411883,-1.050018,"B32","8","U111","8","mineral","FRANCE"
"671","10775",25,50,24,19.5,0,2.1,48.4,218.7,10.7,"WGS84",47.457161,-1.140459,"B11","8","U111","8","mineral","FRANCE"
"672","10776",17,58,25,21.8,1,1.8,40,207.4,6.9,"WGS84",47.552738,-1.269148,"B32","8","U111","8","mineral","FRANCE"
"673","10777",12,49,39,143.9,0,5.6,17,194,7.4,"WGS84",47.547391,-1.321538,"C10","8","U120","8","organic","FRANCE"
"674","10778",12,32,56,24.4,0,1.9,18.7,44.7,5.4,"WGS84",47.064621,-1.589273,"B16","8","U111","8","mineral","FRANCE"
"675","10779",22,55,23,15.4,0,1.6,18,57,8.9,"WGS84",47.115813,-1.787751,"B16","8","U111","8","mineral","FRANCE"
"676","10780",14,15,72,32.6,27,3.3,39.6,160,19.2,"WGS84",47.003611,-1.815583,"E20","8","U111","8","mineral","FRANCE"
"677","10781",11,31,58,12.3,0,1.3,70.2,147.1,4.5,"WGS84",47.033364,-1.875693,"B16","8","U111","8","mineral","FRANCE"
"678","10782",10,58,33,11.6,0,1.2,27.5,99.6,4.1,"WGS84",47.124938,-1.869988,"B16","8","U111","8","mineral","FRANCE"
"679","10783",12,50,39,11.4,1,1.3,53.7,110.7,4.5,"WGS84",47.419606,-1.669328,"B11","8","U111","8","mineral","FRANCE"
"680","10784",23,41,36,41.3,0,3,11.8,138.4,8.2,"WGS84",47.151774,-1.956394,"E20","8","U111","8","mineral","FRANCE"
"681","10785",38,49,13,27.4,0,3.1,36.2,303.7,11.8,"WGS84",47.702783,-1.572053,"B11","B44","U111","8","mineral","FRANCE"
"682","10786",17,52,31,16.2,0,1.8,39.6,138.1,6.6,"WGS84",47.557921,-1.566208,"B11","8","U111","8","mineral","FRANCE"
"683","10787",28,51,21,22.7,0,2.3,30.8,349.6,8.6,"WGS84",47.495311,-1.471378,"B16","8","U111","8","mineral","FRANCE"
"684","10788",23,46,32,22.2,0,1.9,62.3,235.2,4.6,"WGS84",47.641026,-1.639013,"B11","8","U111","8","mineral","FRANCE"
"685","10789",15,72,14,13.7,2,1.4,45.1,164.6,6.1,"WGS84",47.600485,-1.845503,"B11","8","U111","8","mineral","FRANCE"
"686","10790",26,41,33,28.1,0,2.3,13.7,273.9,5.7,"WGS84",47.615348,-1.875953,"B11","8","U111","8","mineral","FRANCE"
"687","10791",22,60,18,15.5,0,1.6,18,97.1,5.1,"WGS84",47.597961,-2.033769,"E20","8","U111","8","mineral","FRANCE"
"688","10792",53,46,1,51.4,0,5.2,81.8,189.4,14.2,"WGS84",47.677611,-1.971531,"E20","8","U111","8","mineral","FRANCE"
"689","10793",21,58,21,18.7,0,1.9,38.3,137.8,3.1,"WGS84",47.503203,-1.903733,"E20","8","U111","8","mineral","FRANCE"
"690","10794",5,9,86,70.1,1,4.1,16.5,51.4,7.2,"WGS84",44.98381,-0.63506,"C10","8","U120","8","mineral","FRANCE"
"691","10795",2,2,96,19.6,0,0.8,13.3,33.5,0,"WGS84",44.34348,-0.51404,"B16","8","U111","8","mineral","FRANCE"
"692","10796",4,8,88,8.6,2,0.8,0,33.1,4.7,"WGS84",44.65529,-0.47049,"C10","8","U400","8","mineral","FRANCE"
"693","10797",19,17,64,19.9,115,1.7,29,428.8,13.5,"WGS84",45.169718,-0.59383,"B82","F00","U111","U400","mineral","FRANCE"
"694","10798",42,56,2,21.8,2,2.2,60.9,394.5,26.8,"WGS84",44.94036,-0.345276,"B82","E10","U111","8","mineral","FRANCE"
"695","10799",12,51,37,11.6,0,1,26.4,234.2,8.2,"WGS84",44.998188,-0.125678,"B82","F00","U111","8","mineral","FRANCE"
"696","10800",4,9,86,16.2,2,1,0,79.8,5.6,"WGS84",45.15926,-0.3349,"D10","8","U120","8","mineral","FRANCE"
"697","10801",8,28,64,7.9,0,0.7,0,36.5,0,"WGS84",44.517256,-0.21635,"C20","8","U120","8","mineral","FRANCE"
"698","10802",7,17,76,5.1,0,0.7,61.9,113.6,3,"WGS84",44.66292,0.163945,"B21","8","U111","8","mineral","FRANCE"
"699","10803",15,69,16,9.9,0,1.1,28.4,185.6,6.9,"WGS84",44.61281,0.02049,"B82","F00","U111","8","mineral","FRANCE"
"700","10804",38,47,15,22.1,7,2.1,49.8,459.9,24.5,"WGS84",44.814022,0.035275,"B82","F00","U111","8","mineral","FRANCE"
"701","10805",51,37,12,12.9,193,1.5,16.7,674.7,32,"WGS84",44.795028,0.21715,"B82","E10","U111","8","mineral","FRANCE"
"702","10806",59,37,4,41.8,50,4,0,231.5,37.3,"WGS84",44.76867,-0.05855,"C10","8","U400","8","mineral","FRANCE"
"703","10807",6,9,86,8.8,0,1.1,31.5,114.4,3.9,"WGS84",44.86845,-0.153078,"B82","E10","U111","8","mineral","FRANCE"
"704","10808",24,42,34,5.2,0,0.7,0,90.4,8.2,"WGS84",44.884417,-0.360286,"D20","8","U221","U400","mineral","FRANCE"
